date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:45:57	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226594b1b9-239b%22	https://themewagon.github.io/robots.txt		(from )
13:45:57	85695/85695	---M-Z	200	added ('OK')	text/html	etag:W/%2265701aba-14ebf%22	https://themewagon.github.io/fruitables/	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/index.html	(from )
13:45:58	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jan%202024%2018:45:57%20GMT	https://fonts.gstatic.com/	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/fonts.gstatic.com/index.html	(from https://themewagon.github.io/fruitables/)
13:45:58	966/966	---MC-	200	added ('OK')	text/css	date:Mon,%2008%20Jan%202024%2018:45:57%20GMT	https://fonts.googleapis.com/css2?family=Open+Sans:wght@400;600&family=Raleway:wght@600;800&display=swap	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/fonts.googleapis.com/css2ec0e.css	(from https://themewagon.github.io/fruitables/)
13:45:58	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jan%202024%2018:45:57%20GMT	https://fonts.googleapis.com/	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/fonts.googleapis.com/index.html	(from https://themewagon.github.io/fruitables/)
13:45:59	59305/59305	---MCZ	200	added ('OK')	text/css	etag:W/%22ecd507b3125edc4d2a03aa6ae5d07da9%22	https://use.fontawesome.com/releases/v5.15.4/css/all.css	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/use.fontawesome.com/releases/v5.15.4/css/all.css	(from https://themewagon.github.io/fruitables/)
13:46:00	63666/63666	---M-Z	200	added ('OK')	text/css	etag:W/%22f8b2-v7ZMVELJO4O8jF4rcNGwrm8YAaE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from https://themewagon.github.io/fruitables/)
13:46:00	2532/2532	---M-Z	200	added ('OK')	text/css	etag:W/%2265701aba-9e4%22	https://themewagon.github.io/fruitables/lib/lightbox/css/lightbox.min.css	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/lib/lightbox/css/lightbox.min.css	(from https://themewagon.github.io/fruitables/)
13:46:01	2936/2936	---M-Z	200	added ('OK')	text/css	etag:W/%2265701aba-b78%22	https://themewagon.github.io/fruitables/lib/owlcarousel/assets/owl.carousel.min.css	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/lib/owlcarousel/assets/owl.carousel.min.css	(from https://themewagon.github.io/fruitables/)
13:46:03	166446/166446	---M-Z	200	added ('OK')	text/css	etag:W/%2265701aba-28a2e%22	https://themewagon.github.io/fruitables/css/bootstrap.min.css	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/css/bootstrap.min.css	(from https://themewagon.github.io/fruitables/)
13:46:03	9918/9918	---M-Z	200	added ('OK')	text/css	etag:W/%2265701aba-26be%22	https://themewagon.github.io/fruitables/css/style.css	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/css/style.css	(from https://themewagon.github.io/fruitables/)
13:46:04	85695/85695	---M-Z	200	added ('OK')	text/html	etag:W/%2265701aba-14ebf%22	https://themewagon.github.io/fruitables/index.html	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/index-2.html	(from https://themewagon.github.io/fruitables/)
13:46:05	41805/41805	---M-Z	200	added ('OK')	text/html	etag:W/%2265701aba-a34d%22	https://themewagon.github.io/fruitables/shop.html	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/shop.html	(from https://themewagon.github.io/fruitables/)
13:46:06	50939/50939	---M-Z	200	added ('OK')	text/html	etag:W/%2265701aba-c6fb%22	https://themewagon.github.io/fruitables/shop-detail.html	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/shop-detail.html	(from https://themewagon.github.io/fruitables/)
13:46:07	23488/23488	---M-Z	200	added ('OK')	text/html	etag:W/%2265701aba-5bc0%22	https://themewagon.github.io/fruitables/cart.html	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/cart.html	(from https://themewagon.github.io/fruitables/)
13:46:08	28187/28187	---M-Z	200	added ('OK')	text/html	etag:W/%2265701aba-6e1b%22	https://themewagon.github.io/fruitables/chackout.html	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/chackout.html	(from https://themewagon.github.io/fruitables/)
13:46:09	19744/19744	---M-Z	200	added ('OK')	text/html	etag:W/%2265701aba-4d20%22	https://themewagon.github.io/fruitables/testimonial.html	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/testimonial.html	(from https://themewagon.github.io/fruitables/)
13:46:10	14657/14657	---M-Z	200	added ('OK')	text/html	etag:W/%2265701aba-3941%22	https://themewagon.github.io/fruitables/404.html	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/404.html	(from https://themewagon.github.io/fruitables/)
13:46:11	17434/17434	---M-Z	200	added ('OK')	text/html	etag:W/%2265701aba-441a%22	https://themewagon.github.io/fruitables/contact.html	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/contact.html	(from https://themewagon.github.io/fruitables/)
13:46:12	113538/113538	---M--	200	added ('OK')	image/png	etag:%2265701aba-1bb82%22	https://themewagon.github.io/fruitables/img/hero-img-1.png	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/img/hero-img-1.png	(from https://themewagon.github.io/fruitables/)
13:46:13	75084/75084	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-1254c%22	https://themewagon.github.io/fruitables/img/hero-img-2.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/img/hero-img-2.jpg	(from https://themewagon.github.io/fruitables/)
13:46:14	26857/26857	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-68e9%22	https://themewagon.github.io/fruitables/img/fruite-item-5.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/img/fruite-item-5.jpg	(from https://themewagon.github.io/fruitables/)
13:46:15	48392/48392	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-bd08%22	https://themewagon.github.io/fruitables/img/fruite-item-2.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/img/fruite-item-2.jpg	(from https://themewagon.github.io/fruitables/)
13:46:16	35753/35753	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-8ba9%22	https://themewagon.github.io/fruitables/img/fruite-item-4.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/img/fruite-item-4.jpg	(from https://themewagon.github.io/fruitables/)
13:46:17	26051/26051	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-65c3%22	https://themewagon.github.io/fruitables/img/fruite-item-3.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/img/fruite-item-3.jpg	(from https://themewagon.github.io/fruitables/)
13:46:18	38581/38581	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-96b5%22	https://themewagon.github.io/fruitables/img/fruite-item-1.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/img/fruite-item-1.jpg	(from https://themewagon.github.io/fruitables/)
13:46:19	30486/30486	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-7716%22	https://themewagon.github.io/fruitables/img/fruite-item-6.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/img/fruite-item-6.jpg	(from https://themewagon.github.io/fruitables/)
13:46:20	30070/30070	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-7576%22	https://themewagon.github.io/fruitables/img/featur-1.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/img/featur-1.jpg	(from https://themewagon.github.io/fruitables/)
13:46:21	32809/32809	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-8029%22	https://themewagon.github.io/fruitables/img/featur-2.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/img/featur-2.jpg	(from https://themewagon.github.io/fruitables/)
13:46:22	47885/47885	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-bb0d%22	https://themewagon.github.io/fruitables/img/featur-3.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/img/featur-3.jpg	(from https://themewagon.github.io/fruitables/)
13:46:23	35535/35535	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-8acf%22	https://themewagon.github.io/fruitables/img/vegetable-item-6.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/img/vegetable-item-6.jpg	(from https://themewagon.github.io/fruitables/)
13:46:24	26589/26589	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-67dd%22	https://themewagon.github.io/fruitables/img/vegetable-item-1.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/img/vegetable-item-1.jpg	(from https://themewagon.github.io/fruitables/)
13:46:25	56672/56672	---M--	200	added ('OK')	image/png	etag:%2265701aba-dd60%22	https://themewagon.github.io/fruitables/img/vegetable-item-3.png	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/img/vegetable-item-3.png	(from https://themewagon.github.io/fruitables/)
13:46:26	13168/13168	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-3370%22	https://themewagon.github.io/fruitables/img/vegetable-item-4.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/img/vegetable-item-4.jpg	(from https://themewagon.github.io/fruitables/)
13:46:27	24201/24201	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-5e89%22	https://themewagon.github.io/fruitables/img/vegetable-item-5.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/img/vegetable-item-5.jpg	(from https://themewagon.github.io/fruitables/)
13:46:29	107781/107781	---M--	200	added ('OK')	image/png	etag:%2265701aba-1a505%22	https://themewagon.github.io/fruitables/img/baner-1.png	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/img/baner-1.png	(from https://themewagon.github.io/fruitables/)
13:46:29	50060/50060	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-c38c%22	https://themewagon.github.io/fruitables/img/best-product-1.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/img/best-product-1.jpg	(from https://themewagon.github.io/fruitables/)
13:46:30	60058/60058	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-ea9a%22	https://themewagon.github.io/fruitables/img/best-product-2.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/img/best-product-2.jpg	(from https://themewagon.github.io/fruitables/)
13:46:31	31701/31701	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-7bd5%22	https://themewagon.github.io/fruitables/img/best-product-3.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/img/best-product-3.jpg	(from https://themewagon.github.io/fruitables/)
13:46:32	46547/46547	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-b5d3%22	https://themewagon.github.io/fruitables/img/best-product-4.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/img/best-product-4.jpg	(from https://themewagon.github.io/fruitables/)
13:46:33	30441/30441	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-76e9%22	https://themewagon.github.io/fruitables/img/best-product-5.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/img/best-product-5.jpg	(from https://themewagon.github.io/fruitables/)
13:46:34	39945/39945	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-9c09%22	https://themewagon.github.io/fruitables/img/best-product-6.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/img/best-product-6.jpg	(from https://themewagon.github.io/fruitables/)
13:46:35	3781/3781	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-ec5%22	https://themewagon.github.io/fruitables/img/testimonial-1.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/img/testimonial-1.jpg	(from https://themewagon.github.io/fruitables/)
13:46:36	3686/3686	---M--	200	added ('OK')	image/png	etag:%2265701aba-e66%22	https://themewagon.github.io/fruitables/img/payment.png	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/img/payment.png	(from https://themewagon.github.io/fruitables/)
13:46:38	89795/89795	---M--	200	added ('OK')	text/javascript	date:Tue,%2004%20Apr%202023%2003:27:01%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.6.4/jquery.min.js	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/ajax.googleapis.com/ajax/libs/jquery/3.6.4/jquery.min.js	(from https://themewagon.github.io/fruitables/)
13:46:39	79665/79665	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213731-2JYXAt9UqpcPHzAIfI0LH2lnx4Q%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	(from https://themewagon.github.io/fruitables/)
13:46:39	2303/2303	---M-Z	200	added ('OK')	application/javascript	etag:W/%2265701aba-8ff%22	https://themewagon.github.io/fruitables/lib/easing/easing.min.js	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/lib/easing/easing.min.js	(from https://themewagon.github.io/fruitables/)
13:46:40	9028/9028	---M-Z	200	added ('OK')	application/javascript	etag:W/%2265701aba-2344%22	https://themewagon.github.io/fruitables/lib/waypoints/waypoints.min.js	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/lib/waypoints/waypoints.min.js	(from https://themewagon.github.io/fruitables/)
13:46:41	9754/9754	---M-Z	200	added ('OK')	application/javascript	etag:W/%2265701aba-261a%22	https://themewagon.github.io/fruitables/lib/lightbox/js/lightbox.min.js	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/lib/lightbox/js/lightbox.min.js	(from https://themewagon.github.io/fruitables/)
13:46:42	42766/42766	---M-Z	200	added ('OK')	application/javascript	etag:W/%2265701aba-a70e%22	https://themewagon.github.io/fruitables/lib/owlcarousel/owl.carousel.min.js	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/lib/owlcarousel/owl.carousel.min.js	(from https://themewagon.github.io/fruitables/)
13:46:43	3767/3767	---M-Z	200	added ('OK')	application/javascript	etag:W/%2265701aba-eb7%22	https://themewagon.github.io/fruitables/js/main.js	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/js/main.js	(from https://themewagon.github.io/fruitables/)
13:46:45	51/51	---MCZ	200	added ('OK')	text/plain	date:Mon,%2008%20Jan%202024%2018:46:44%20GMT	https://fonts.googleapis.com/robots.txt		(from https://themewagon.github.io/fruitables/)
13:46:45	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jan%202024%2018:46:45%20GMT	https://fonts.gstatic.com/robots.txt		(from https://themewagon.github.io/fruitables/)
13:46:46	53580/53580	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-d14c%22	https://themewagon.github.io/fruitables/img/banner-fruits.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/img/banner-fruits.jpg	(from https://themewagon.github.io/fruitables/shop.html)
13:46:48	148679/148679	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-244c7%22	https://themewagon.github.io/fruitables/img/single-item.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/img/single-item.jpg	(from https://themewagon.github.io/fruitables/shop-detail.html)
13:46:48	1249/1249	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-4e1%22	https://themewagon.github.io/fruitables/img/avatar.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/img/avatar.jpg	(from https://themewagon.github.io/fruitables/shop-detail.html)
13:46:52	44875/44875	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-af4b%22	https://themewagon.github.io/fruitables/img/vegetable-item-2.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/img/vegetable-item-2.jpg	(from https://themewagon.github.io/fruitables/cart.html)
13:46:53	113538/113538	URF---	200	added ('OK%20(cached)')	image/png		https://themewagon.github.io/fruitables/img/hero-img-1.png	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/img/hero-img-1.png	(from https://themewagon.github.io/fruitables/)
13:46:53	107781/107781	URF---	200	added ('OK%20(cached)')	image/png		https://themewagon.github.io/fruitables/img/baner-1.png	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/img/baner-1.png	(from https://themewagon.github.io/fruitables/)
13:46:53	89795/89795	URF---	200	added ('OK%20(cached)')	application/x-javascript		https://ajax.googleapis.com/ajax/libs/jquery/3.6.4/jquery.min.js	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/ajax.googleapis.com/ajax/libs/jquery/3.6.4/jquery.min.js	(from https://themewagon.github.io/fruitables/)
13:46:54	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	application/javascript	etag:W/%2265701aba-8ff%22	https://themewagon.github.io/fruitables/lib/easing/easing.min.js	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/lib/easing/easing.min.js	(from https://themewagon.github.io/fruitables/)
13:46:54	0/0	UR-M-Z	416	error ('Range%20Not%20Satisfiable')	application/javascript	etag:W/%2213731-2JYXAt9UqpcPHzAIfI0LH2lnx4Q%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	(from https://themewagon.github.io/fruitables/)
13:46:54	747927/747927	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221d5619cd804367cefe6da2d79289218a%22	https://use.fontawesome.com/releases/v5.15.4/webfonts/fa-brands-400.svg	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/use.fontawesome.com/releases/v5.15.4/webfonts/fa-brands-400.svg	(from https://use.fontawesome.com/releases/v5.15.4/css/all.css)
13:46:54	148679/148679	URF---	200	added ('OK%20(cached)')	image/jpeg		https://themewagon.github.io/fruitables/img/single-item.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/img/single-item.jpg	(from https://themewagon.github.io/fruitables/shop-detail.html)
13:46:56	144714/144714	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22c5d109be8edd3de0f60eb472bd9ef691%22	https://use.fontawesome.com/releases/v5.15.4/webfonts/fa-regular-400.svg	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/use.fontawesome.com/releases/v5.15.4/webfonts/fa-regular-400.svg	(from https://use.fontawesome.com/releases/v5.15.4/css/all.css)
13:46:56	1249/1249	URF---	200	added ('OK%20(cached)')	image/jpeg		https://themewagon.github.io/fruitables/img/avatar.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/img/avatar.jpg	(from https://themewagon.github.io/fruitables/shop-detail.html)
13:46:56	44875/44875	URF---	200	added ('OK%20(cached)')	image/jpeg		https://themewagon.github.io/fruitables/img/vegetable-item-2.jpg	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/themewagon.github.io/fruitables/img/vegetable-item-2.jpg	(from https://themewagon.github.io/fruitables/cart.html)
13:46:58	85120/85120	---M--	200	added ('OK')	font/woff2	etag:W/%2214c80-7RZ9M14uDLAKgvLXNn8Fy01lV88%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-icons.woff2?231ce25e89ab5804f9a6c427b8d325c9	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-iconsfb95.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
13:46:58	918991/918991	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2237bc7099f6f1ba80236164f22e905837%22	https://use.fontawesome.com/releases/v5.15.4/webfonts/fa-solid-900.svg	/Users/romeusclarens/Desktop/Programing/Website_templates/Fruitable/Fruitable/use.fontawesome.com/releases/v5.15.4/webfonts/fa-solid-900.svg	(from https://use.fontawesome.com/releases/v5.15.4/css/all.css)
